"zip","population"
21045,39730
60467,27076
66227,5610
15004,375
43449,8328
62034,13605
37080,6980
55447,21298
55129,24778
64156,7372
60070,16185
50038,68
46142,30066
90806,42587
60645,48269
6757,2160
7627,5031
48124,29132
75025,53559
1824,25961
6477,13981
37853,3959
90706,77852
6854,31777
95818,20946
7424,27066
11223,80855
1611,2451
11220,100412
48159,2590
55124,51109
49419,8054
73159,33496
45378,337
28213,40427
90503,45349
67017,2376
92119,23910
7936,11241
94579,22452
79936,111918
22043,25396
85012,6776
87107,30719
33175,54144
47129,19674
75233,16318
45065,4531
50273,8290
76001,31829
15438,1847
1237,2662
2879,20736
45219,18009
2026,25362
15477,871
75024,42405
77357,24334
29844,169
21056,219
12487,3460
33162,47349
22079,35331
94066,43097
78703,20788
46320,14310
91210,835
68064,3276
11565,8750
29303,24889
20764,4330
43110,38274
2840,23267
63133,7299
10901,23948
2021,22829
33013,34180
15014,3154
43212,20322
7017,36304
90403,24764
14513,13776
78681,57234
11434,66725
55439,9000
12063,361
70129,10531
7933,3326
33983,15239
79907,53505
33170,14399
6901,7048
11201,61907
38016,46285
19511,61
48309,29467
34109,24720
11004,15151
27217,37270
80012,51572
15019,1617
2122,24643
55107,15031
21017,6773
11237,52319
55374,14701
77005,28233
45354,473
79836,5889
48082,16686
1543,8463
76053,30567
11596,10652
43416,2992
93652,373
98416,1013
11766,12577
10517,427
12008,513
12047,20765
91214,30991
30021,23978
15068,38205
21050,18122
18503,1178
6812,14091
47339,555
35221,4716
14086,32730
79915,35622
79932,28345
53555,8356
10456,94667
10960,15547
60452,28459
8837,17199
67037,28216
94080,67423
34289,2755
16121,4729
91741,26610
64050,22302
44012,23489
67055,134
78620,15452
64444,1409
93263,20710
44125,28055
92595,32647
94510,28043
12196,3462
91901,18238
60189,30704
32714,36004
49267,3918
12121,1680
18434,4070
63104,19693
78738,15746
60647,87707
8832,2657
18642,4518
18051,3590
60633,13202
55103,13785
44410,16387
17306,392
1103,2409
7436,13145
90034,56070
2465,12112
14214,19095
43067,1536
43402,32240
43458,469
38138,24836
95032,26437
35244,33638
67218,22528
41048,15444
15146,28042
17077,96
32903,13506
44506,2858
78744,48432
37211,78057
17028,3581
40291,37014
98116,25694
15691,78
95612,1062
2132,28505
70817,35398
10553,10782
32955,37979
32043,24381
75249,16100
45358,323
94085,23395
10464,4517
90222,32585
80215,19343
28211,30760
91766,72787
27576,17251
23551,678
33068,51978
94621,33557
72120,33161
1011,1507
63105,18064
80922,28508
91403,24677
64145,5288
44730,6084
72201,869
90732,22408
48204,24513
96850,0
2462,1520
6336,73
18823,264
33563,27552
15083,798
6037,19270
45237,20167
45239,27509
84121,40665
1069,8919
15483,410
73072,47552
76248,39131
94546,44285
90255,75636
33576,4284
16023,4463
12053,4965
96817,57160
46123,34276
6117,16669
15072,58
6605,24744
45227,18206
27610,75991
46280,7530
29617,27708
55127,18103
90077,8936
6778,1487
7513,12794
28226,38452
95237,3189
72331,2985
33701,15545
14301,12682
91762,59433
53223,29435
43463,57
15427,1131
1940,13425
98392,3022
32713,20223
60643,51028
23141,6227
7105,53323
97106,5011
2203,27
60660,42068
21085,16259
93627,198
8015,19837
15330,5547
11724,3386
32207,35381
90040,12925
7023,7648
55416,31414
46216,2117
92405,30366
33930,999
92844,24050
49321,17036
84070,27736
30312,21731
1826,30948
70818,9547
77049,33749
37087,45282
30322,2843
53527,10945
46037,40798
49507,38429
33558,22113
7014,5195
30833,3187
13037,9235
20743,40025
98346,10240
55430,22697
77530,31119
20020,56622
53719,31705
53295,194
32798,2420
6119,16126
