"zip","median_hh_income"
34134,75829
1527,74713
20018,63764
1460,119177
77045,51170
46030,56982
85748,70840
27958,82843
41051,77486
12530,0
29834,27832
93563,83875
67041,61250
49503,41306
14069,55278
11201,116446
34215,48214
43044,61779
18058,62696
6088,67375
91335,55580
12018,91075
63025,98590
1505,97074
7456,115399
92115,47536
66227,95493
15116,75301
95064,44444
32220,53112
28282,0
95391,120196
76119,34333
8518,61500
85213,61717
68124,68311
21206,50975
94002,125546
33101,0
78717,104167
35186,61576
53572,74087
90024,59418
27105,32182
48218,29671
23060,83802
32925,51458
2895,38340
85381,77874
48331,103177
95205,33915
23665,57401
77016,32302
18360,58785
7083,81359
6065,98194
16066,101449
75094,127095
19442,0
48070,125873
77547,41037
90065,58405
18101,19401
47117,59628
94548,105329
18618,63689
13210,27690
18923,133125
27557,39659
87116,67135
46290,250001
98333,93043
72045,51250
70065,57712
76117,44040
44065,64984
51503,64628
92630,87059
97229,108861
90740,65299
10518,193472
47150,48737
8608,14740
33173,65482
85009,27506
70031,72955
85743,72353
32970,11786
38112,31647
78723,49606
43611,39570
66027,92172
7108,25192
33990,50989
1752,75418
17037,55000
8086,78609
60202,74532
38651,63317
12574,0
92130,141926
83634,66945
35043,91875
55322,87878
12722,73250
33838,35674
41014,34990
33573,46434
11212,25677
1719,101077
60106,62604
48170,79773
85353,60907
14301,26019
94022,208984
98125,61014
30080,65159
7021,198750
1879,101620
78109,65220
11417,69989
2791,74009
23225,45240
91791,80020
98416,0
1904,88395
33898,40066
12489,78649
45244,89576
45255,72550
15222,95217
68112,48024
78579,44886
11360,84476
33785,65647
15438,50000
87122,111676
77015,45917
22035,0
48334,74935
64444,60769
94109,79979
94609,73765
49506,73083
90723,49064
8534,126108
91326,105611
85739,63991
60712,93226
33541,39133
1079,27105
55306,68542
10112,0
77385,88220
64163,43250
44618,59318
8879,68693
33604,37316
11106,60725
11559,106597
18229,56336
10506,217607
83669,57023
55405,56365
91423,82554
45065,65625
1038,67096
48141,32379
23875,60725
55327,95806
90275,124384
53402,58134
11422,86996
23709,0
8027,70255
2790,80569
45044,49115
1081,50465
34201,92112
83607,47901
23666,52902
85087,68448
7677,161250
2343,67589
53593,99578
94526,141761
46150,55096
15038,66406
15367,129063
30313,50172
27614,102950
75233,45468
10024,126107
77081,29079
2332,123613
10455,25489
20260,0
12210,46712
7457,100602
90007,23070
48239,52385
78504,63158
77053,45953
94924,52375
37087,52303
12087,73720
1027,63699
7505,26198
87022,30521
55437,72284
34769,42869
20646,98737
45251,60979
75038,51444
6226,32053
14061,53906
95037,108554
94070,153291
63116,42977
78660,81693
92506,87190
60104,55471
74128,42388
47172,76363
76014,50916
7076,117765
1088,51406
75132,70364
77005,180758
50125,62712
2066,114766
32904,57545
11752,94593
60478,57358
16141,52039
95017,70000
19008,88594
45205,28973
34234,33793
14047,64485
98032,51696
94563,185066
93043,86250
17078,60965
77507,0
43112,85625
17098,46397
17033,61265
12448,109531
90022,41276
60605,107811
7481,147463
32966,44357
23704,35859
30812,0
10591,89478
17370,68681
21042,151354
7935,0
33143,65581
13028,57500
15216,57881
19057,66635
48202,22522
85023,55186
1097,0
93312,94308
62018,46883
77030,75290
64125,23355
46312,30205
30805,33050
68106,54044
44278,63915
85383,110158
1905,57638
27929,74167
29303,31261
44314,34481
2892,94176
47358,45917
27326,42589
1854,40982
12409,88906
20190,107117
20109,67891
21013,138111
7020,103505
29667,39514
49519,51509
23517,53098
37015,49901
28101,53929
95127,84239
95630,106843
21223,26899
96819,77389
48028,54750
8042,0
27410,63980
12404,60625
60068,98219
92582,61667
95131,114675
10456,26724
18451,71818
55436,96960
35080,83933
18105,0
23834,53857
16142,52188
15615,65185
34109,65487
43026,84773
2744,33125
94611,120601
37748,38742
94041,121650
62059,16131
94957,243214
45866,40536
